"","set","model","feat_type","fold"
"439","set_88","WeightedEnsemble_L2","mordred",3
"440","set_88","WeightedEnsemble_L2","AtomPairs2D",4
"441","set_89","WeightedEnsemble_L2","Substructure",0
"442","set_89","WeightedEnsemble_L2","mordred",1
"443","set_89","WeightedEnsemble_L2","padel",2
"444","set_89","WeightedEnsemble_L2","KlekotaRothCount",3
"445","set_89","WeightedEnsemble_L2","AtomPairs2DCount",4
"446","set_9","WeightedEnsemble_L2","padel",0
"447","set_9","WeightedEnsemble_L2","AtomPairs2DCount",1
"448","set_9","WeightedEnsemble_L2","AtomPairs2DCount",2
"449","set_9","WeightedEnsemble_L2","AtomPairs2DCount",3
"450","set_9","WeightedEnsemble_L2","padel",4
"451","set_90","WeightedEnsemble_L2","padel",0
"452","set_90","WeightedEnsemble_L2","mordred",1
"453","set_90","WeightedEnsemble_L2","AtomPairs2DCount",2
"454","set_90","WeightedEnsemble_L2","KlekotaRothCount",3
"455","set_90","WeightedEnsemble_L2","KlekotaRothCount",4
"456","set_91","WeightedEnsemble_L2","AtomPairs2DCount",0
"457","set_91","WeightedEnsemble_L2","PubChem",1
"458","set_91","WeightedEnsemble_L2","AtomPairs2DCount",2
"459","set_91","WeightedEnsemble_L2","padel",3
"460","set_91","WeightedEnsemble_L2","SubstructureCount",4
"461","set_92","WeightedEnsemble_L2","padel",0
"462","set_92","WeightedEnsemble_L2","padel",1
"463","set_92","WeightedEnsemble_L2","padel",2
"464","set_92","WeightedEnsemble_L2","mordred",3
"465","set_92","WeightedEnsemble_L2","AtomPairs2DCount",4
"466","set_93","WeightedEnsemble_L2","mordred",0
"467","set_93","WeightedEnsemble_L2","KlekotaRothCount",1
"468","set_93","WeightedEnsemble_L2","padel",2
"469","set_93","WeightedEnsemble_L2","padel",3
"470","set_93","WeightedEnsemble_L2","SubstructureCount",4
"471","set_94","WeightedEnsemble_L2","AtomPairs2D",0
"472","set_94","WeightedEnsemble_L2","AtomPairs2DCount",1
"473","set_94","WeightedEnsemble_L2","SubstructureCount",2
"474","set_94","WeightedEnsemble_L2","mordred",3
"475","set_94","WeightedEnsemble_L2","SubstructureCount",4
"476","set_95","WeightedEnsemble_L2","mordred",0
"477","set_95","WeightedEnsemble_L2","mordred",1
"478","set_95","WeightedEnsemble_L2","MACCS",2
"479","set_95","WeightedEnsemble_L2","MACCS",3
"480","set_95","WeightedEnsemble_L2","AtomPairs2DCount",4
"481","set_96","WeightedEnsemble_L2","padel",0
"482","set_96","WeightedEnsemble_L2","SubstructureCount",1
"483","set_96","WeightedEnsemble_L2","padel",2
"484","set_96","WeightedEnsemble_L2","AtomPairs2D",3
"485","set_96","WeightedEnsemble_L2","MACCS",4
"486","set_97","WeightedEnsemble_L2","EState",0
